year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
1986,2.87,0.19,602.16,,,10.9,0.03,0.14,-0.0,0.0,0.0,-0.07,0.06,-11.54,35,,,,,104.08,2.87,38.27,11.11,32.99,1.51,,0.32,1.57,63.34,33.44,45.3,15.79,40.21,,0.7,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1987,4.31,0.24,732.56,,,3.8,0.04,0.15,0.0,0.0,-0.0,-0.07,0.08,-5.74,35,,,,,84.46,4.31,37.44,3.75,29.91,2.01,,0.32,1.42,63.68,32.36,42.03,15.99,40.19,,0.55,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1988,6.0,0.26,811.4,,,4.1,0.04,0.16,0.0,0.0,-0.0,-0.08,0.08,-4.7,35,,,,,82.39,6.0,35.76,3.61,28.45,2.61,0.0,0.33,1.42,64.01,32.09,40.53,16.0,41.07,,0.55,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1989,5.7,0.27,807.56,,,4.6,0.05,0.17,0.0,0.0,-0.01,-0.09,0.07,13.38,35,,,,,82.98,5.7,34.41,4.65,28.47,3.11,,0.33,1.66,64.35,33.0,41.93,16.32,42.07,,0.56,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1990,0.69,0.31,908.09,,,10.7,0.05,0.21,0.0,0.0,-0.0,-0.09,0.08,14.63,35,,,,,105.28,0.69,36.96,11.11,30.7,4.27,,0.34,2.02,64.68,32.95,40.97,17.58,41.57,85.95,0.6,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.11,,B-,B2,B,
1991,1.4,0.32,923.74,,,9.6,0.05,0.21,0.0,0.0,-0.01,-0.1,0.07,-33.94,35,,,,,102.0,1.4,35.1,10.61,31.59,4.03,,0.35,2.42,64.99,35.68,40.19,23.14,45.08,,0.6,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.11,11.27,B-,B2,B,
1992,10.94,0.36,1003.93,,,3.1,0.06,0.24,0.0,0.0,-0.01,-0.14,0.08,8.73,35,,,,,116.48,3.05,33.61,13.91,38.59,4.2,,0.36,2.72,65.3,37.41,41.81,25.67,46.01,,0.57,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.12,11.21,B-,B2,B,
1993,8.71,0.49,1339.73,,,5.8,0.07,0.23,0.0,,-0.02,-0.13,0.06,2.38,35,,,,,114.96,7.31,36.35,4.37,61.35,18.68,1.51,0.37,2.85,65.6,39.74,35.49,39.03,45.54,,0.34,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.12,11.19,B-,B2,B,
1994,19.18,0.41,1080.16,,,3.5,0.06,0.23,0.0,,-0.05,-0.17,0.04,8.3,35,,,,,119.67,6.93,39.9,3.95,60.13,35.55,17.89,0.38,2.79,65.9,42.27,41.52,40.24,45.52,,0.52,,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.12,11.12,B-,B2,B,
1995,14.21,0.49,1261.1,,,8.4,0.08,0.29,0.03,,-0.06,-0.21,0.04,-35.65,35,,,,,115.73,7.49,35.47,5.71,60.97,42.53,19.98,0.39,2.59,66.22,39.13,43.51,28.99,45.88,,0.69,,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.13,11.12,B-,B2,B,
1996,11.35,0.5,1269.12,,,6.0,0.1,0.28,0.03,,-0.04,-0.18,0.03,-1.32,35,,,,,116.46,6.69,34.37,9.11,61.55,42.9,20.74,0.4,2.37,66.6,39.77,43.68,29.29,47.48,,0.7,,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.13,11.11,B-,B2,B,
1997,11.12,0.49,1213.63,,,8.6,0.13,0.29,0.01,,-0.03,-0.15,0.02,-20.4,35,,,,,111.01,7.64,35.38,0.4,61.39,47.57,20.64,0.4,2.18,67.03,40.49,45.1,29.64,47.8,,0.7,,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.13,11.08,B-,B2,B,
1998,12.52,0.52,1265.2,,,4.4,0.12,0.31,0.01,,-0.06,-0.19,0.01,13.28,35,,,,,129.77,8.41,28.72,8.36,55.82,45.55,18.4,0.41,2.02,67.51,40.34,43.4,30.05,48.78,,0.71,,0.01,0.09,0.01,0.0,0.0,0.0,0.0,0.14,11.05,B-,B2,B,
1999,11.22,0.59,1408.99,,,4.4,0.12,0.36,0.05,2.99,-0.07,-0.23,0.04,-8.83,35,,,,,136.97,11.86,31.44,-1.57,54.47,41.46,5.77,0.42,1.91,68.04,41.82,45.65,30.75,50.29,,0.37,,0.01,0.1,0.01,0.0,0.0,0.0,0.0,0.14,11.03,B-,B2,B,
2000,14.28,0.54,1259.35,,,-2.5,0.15,0.33,0.03,,-0.06,-0.19,0.03,-12.33,35,,,62.19,,94.65,7.27,27.86,-1.03,58.9,46.91,11.91,0.43,1.82,68.58,47.17,49.12,42.46,50.4,,0.41,58.42,0.01,0.13,0.01,0.0,0.0,0.0,0.0,0.14,10.98,B-,B2,B,
2001,2.23,0.56,1292.23,,,3.3,0.17,0.35,0.01,,-0.06,-0.18,0.05,-23.9,35,,,63.38,,78.06,6.14,28.99,4.56,60.1,48.06,21.31,0.44,1.74,69.1,48.04,49.09,43.22,52.46,,0.49,60.16,0.01,0.15,0.01,0.0,0.0,0.0,0.0,0.15,11.01,B-,B2,B,
2002,5.25,0.62,1401.89,,,1.9,0.2,0.43,0.01,,-0.07,-0.23,0.08,-4.54,35,,,72.35,,92.5,5.28,32.74,2.98,65.41,53.01,23.52,0.44,1.65,69.56,44.48,50.31,31.94,52.31,,0.53,58.6,0.01,0.17,0.01,0.0,0.0,0.0,0.0,0.15,10.96,B-,B2,B,
2003,4.18,0.81,1809.11,,,1.2,0.26,0.55,0.04,,-0.09,-0.29,0.09,-12.2,35,,,69.6,,145.33,7.5,28.33,-2.28,64.92,53.35,22.26,0.45,1.56,69.93,45.36,51.29,32.87,53.02,,0.71,63.62,0.01,0.18,0.01,0.0,0.0,0.0,0.0,0.16,10.93,B-,B2,B,
2004,10.2,0.92,2024.27,,,-1.9,0.3,0.64,0.07,,-0.13,-0.35,0.14,8.18,35,,,70.57,,143.78,4.93,35.67,-0.3,68.85,55.14,22.3,0.46,1.48,70.22,45.88,52.22,32.71,53.84,194.91,0.57,65.34,0.01,0.2,0.01,0.0,0.0,0.0,0.0,0.16,10.87,B-,B2,B,
2005,6.91,0.97,2099.15,,,0.4,0.37,0.65,0.08,0.0,-0.04,-0.29,0.17,0.99,35,,,71.03,21.08,162.87,5.81,35.4,1.76,74.87,57.68,24.09,0.46,1.4,70.42,46.93,54.36,33.11,54.37,213.81,0.54,67.0,0.01,0.22,0.01,0.0,0.0,0.0,0.0,0.17,10.85,B-,B2,B,
2006,7.98,1.11,2361.38,,,5.4,0.5,0.81,0.13,0.29,-0.08,-0.33,0.25,-9.23,35,,,66.75,22.74,139.11,9.12,34.65,5.81,78.59,61.36,22.31,0.47,1.32,70.57,48.25,51.66,34.05,60.83,217.4,0.45,68.79,0.01,0.23,0.01,0.0,0.0,0.0,0.0,0.17,10.8,B-,B2,B,
2007,15.17,1.51,3186.78,0.75,0.95,4.4,0.55,1.0,0.19,2.22,-0.2,-0.47,0.36,0.68,35,17.46,0.26,61.6,20.91,166.05,9.22,49.79,3.36,77.57,61.94,17.35,0.48,1.25,70.68,48.75,50.35,35.55,62.28,216.81,0.51,70.52,0.01,0.25,0.01,0.0,0.0,0.0,0.0,0.18,10.73,B-,B2,B,
2008,6.65,1.79,3721.22,0.87,1.09,6.8,0.66,1.13,0.21,0.0,-0.21,-0.47,0.36,-107.62,35,16.88,0.3,54.76,21.28,221.88,6.65,48.54,6.65,75.56,65.27,13.79,0.48,1.21,70.79,48.74,49.71,35.95,62.48,,0.48,72.26,0.01,0.26,0.01,0.0,0.0,0.0,0.0,0.18,10.73,B-,B2,B,
2009,-1.27,1.71,3517.43,0.75,1.09,1.0,0.53,0.98,0.13,1.86,-0.24,-0.51,0.4,-33.06,35,18.18,0.31,58.17,18.42,196.77,-1.27,43.79,-0.31,77.5,71.79,14.64,0.49,1.2,70.91,49.2,49.72,36.54,63.28,,0.54,74.0,0.01,0.27,0.01,0.0,0.0,0.0,0.0,0.19,10.73,B-,B2,B,
2010,1.47,1.66,3378.32,0.79,1.05,2.1,0.54,1.03,0.12,0.0,-0.22,-0.48,0.38,-83.33,35,18.43,0.31,72.21,18.45,326.98,1.47,47.65,3.44,80.1,76.65,15.67,0.49,1.22,71.06,50.34,51.49,36.24,65.32,,0.47,81.1,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.2,10.67,B-,B2,B,
2011,3.97,1.87,3740.37,0.89,1.17,4.5,0.66,1.2,0.1,0.0,-0.3,-0.59,0.34,-29.0,35,18.52,0.35,79.4,19.73,251.37,3.97,47.51,3.53,78.48,82.8,17.53,0.5,1.25,71.24,50.46,51.03,37.17,65.13,,0.48,82.36,0.03,0.32,0.02,0.01,0.0,0.0,0.0,0.2,10.88,B-,B2,B,
2012,1.08,1.74,3447.48,0.65,1.13,2.5,0.7,1.04,0.13,0.0,-0.24,-0.43,0.38,-26.4,35,17.27,0.3,91.29,17.88,245.64,1.08,37.19,4.14,82.08,81.66,17.82,0.51,1.27,71.44,50.54,50.95,37.4,65.16,,0.59,83.36,0.07,0.29,0.06,0.01,0.0,0.0,0.0,0.21,11.12,B-,B2,B,
2013,0.8,1.85,3616.04,0.59,1.21,1.5,0.75,1.01,0.09,0.0,-0.11,-0.32,0.48,-1.92,35,17.46,0.32,102.5,17.84,245.16,0.8,31.63,0.07,89.44,83.38,19.7,0.51,1.28,71.66,50.78,50.73,37.11,66.53,,0.57,84.34,0.08,0.3,0.08,0.01,0.0,0.0,0.0,0.21,11.35,B-,B2,B,
2014,0.61,1.86,3588.63,0.69,1.21,-0.2,0.75,1.13,0.18,0.0,-0.17,-0.34,0.51,-18.85,35,18.45,0.34,115.93,17.05,231.39,0.61,37.0,-0.34,95.65,86.1,23.31,0.52,1.27,71.89,50.79,50.61,37.87,65.79,,0.64,85.31,0.09,0.32,0.08,0.01,0.0,0.0,0.0,0.22,11.57,B-,B2,B,
2015,1.01,1.6,3043.03,0.48,1.04,0.1,0.72,0.94,0.1,0.0,-0.05,-0.25,0.49,-50.89,35,18.85,0.3,126.03,18.78,153.25,1.01,38.55,-0.53,98.88,86.71,25.34,0.52,1.24,72.12,50.54,49.78,37.91,65.89,,0.8,86.36,0.09,0.32,0.08,0.01,0.0,0.0,0.0,0.22,11.8,B-,B2,B,
2016,4.71,1.66,3131.0,0.59,1.05,-1.4,0.74,1.0,0.13,0.0,-0.06,-0.29,0.57,-3.61,35,17.29,0.29,127.66,18.6,115.24,4.71,36.98,-0.25,102.57,87.71,26.96,0.53,1.21,72.35,51.46,51.44,38.26,66.64,,0.81,87.54,0.08,0.34,0.08,0.01,0.0,0.0,0.0,0.22,12.01,B-,B2,B,
2017,3.7,1.77,3289.9,0.68,1.15,0.8,0.81,1.19,0.11,0.0,-0.14,-0.38,0.62,20.29,35,17.99,0.32,126.62,20.09,123.01,3.7,38.24,0.27,104.63,89.97,27.97,0.54,1.19,72.57,55.16,52.33,47.52,67.18,,0.71,88.69,0.08,0.38,0.07,0.01,0.0,0.0,0.0,0.23,12.24,B-,B2,B,
2018,4.53,1.97,3616.46,0.78,1.21,1.3,0.96,1.34,0.11,0.0,-0.1,-0.37,0.61,-23.92,35,17.8,0.35,125.13,,84.28,4.53,36.51,1.0,99.96,89.43,29.62,0.54,1.16,72.78,56.29,57.75,45.66,66.68,,0.37,90.41,0.09,0.37,0.08,0.01,0.0,0.0,0.0,0.23,12.17,B-,B2,B,
2019,5.67,1.98,3603.78,0.7,1.22,1.1,1.0,1.29,0.1,0.0,0.0,-0.28,0.74,-24.18,35,17.61,0.35,124.54,,152.54,5.67,37.55,1.94,102.02,84.1,25.79,0.55,1.13,72.98,55.01,57.03,45.38,63.2,,0.31,91.4,0.09,0.38,0.08,0.01,0.0,0.0,0.0,0.24,12.22,B-,B2,B,
2020,-14.78,1.7,3064.27,0.87,1.08,0.6,0.42,1.02,,0.0,-0.27,-0.59,0.74,24.39,35,20.65,0.35,156.05,,,-14.78,36.11,-0.85,125.3,105.57,,0.56,1.09,,,,,,,,94.16,,,0.08,0.01,,,0.0,0.23,15.31,B-,B2,B-,
2016,1.27,476.06,41984.1,115.38,244.01,2.0,377.88,372.2,57.54,-12389.97,2.65,5.69,23.48,-5184.4,18,23.26,110.67,105.0,22.84,,1.27,24.25,2.2,123.42,81.56,18.77,11.33,0.51,81.44,90.52,88.43,96.0,87.0,,0.02,100.0,15.58,23.45,5.44,3.1,0.37,41.43,0.0,5.01,7.83,B+,B2,AA-,0.61
2017,1.62,502.76,44089.31,122.65,258.14,2.1,417.18,411.97,-37.29,10862.18,3.52,5.26,26.15,-1611.37,18,23.03,115.51,102.0,23.45,,1.62,24.46,2.06,122.75,80.2,16.47,11.38,0.39,81.49,90.69,88.54,96.27,87.14,,0.02,100.0,17.11,24.08,6.51,3.31,0.27,40.19,0.0,5.04,7.09,B+,B2,AA-,0.53
2018,1.82,543.27,47519.55,137.75,281.18,2.1,450.89,452.2,-41.6,-4392.94,-4.26,-1.15,26.86,-1546.12,18,23.09,125.39,99.8,24.01,,1.82,25.37,2.2,126.46,81.48,15.27,11.43,0.46,81.6,90.46,87.89,96.62,86.69,,0.02,100.0,18.34,24.9,7.47,3.9,0.31,27.0,0.0,5.09,5.95,B+,B2,AA-,0.75
2019,2.15,535.29,46591.49,133.63,275.17,1.4,439.94,436.43,-30.08,5195.21,0.83,3.65,28.97,-2491.53,18,22.97,122.98,97.7,22.61,,2.15,24.97,0.92,126.39,81.83,13.47,11.49,0.54,81.75,90.33,88.75,96.63,85.6,,0.02,100.0,20.04,26.99,9.73,4.25,0.11,41.42,0.0,5.14,5.36,B+,B2,AA-,0.01
2020,-5.66,521.86,45159.35,126.09,259.23,0.7,417.56,410.22,,8197.99,4.32,7.26,33.3,-2439.69,18,24.76,129.2,112.8,,,-5.66,24.16,0.35,144.28,89.28,,11.56,0.58,,,,,,,,100.0,23.98,28.35,12.87,4.97,0.33,32.6,0.0,5.11,5.55,B+,B2,AA-,-0.39
1994,,1.26,319.01,,,,0.19,1.08,,,,,,,24,,,,,408.57,,,,,,,3.94,-3.55,71.09,37.26,44.96,28.68,38.27,364.55,0.25,100.0,3.42,0.74,0.0,0.0,3.42,0.0,0.0,1.52,20.71,B+,B2,AA-,
1995,20.8,1.87,487.48,0.37,,,0.38,1.33,,,,,,,24,,,,,965.8,,,,,,,3.83,-2.77,71.64,38.71,45.99,31.34,38.81,390.22,0.85,100.0,3.61,0.71,0.0,0.0,3.61,0.0,0.0,1.46,21.77,B+,B2,AA-,
1996,88.96,2.79,740.1,1.15,,,0.66,2.34,,,,,,,24,,,,,851.81,,,,,,,3.76,-1.7,72.31,40.07,47.58,31.67,41.09,463.61,0.09,100.0,5.1,2.05,0.0,0.0,5.1,0.0,0.0,1.43,22.77,B+,B2,AA-,
1997,34.39,3.67,982.8,1.54,,,1.02,2.67,,,,,0.08,,24,,,,,862.05,22.85,,5.73,23.48,60.3,2.1,3.74,-0.76,72.98,42.51,48.56,36.78,42.13,721.18,1.91,100.0,4.61,3.86,0.0,0.0,4.61,0.0,0.0,1.42,23.61,B+,B2,AA-,
1998,15.6,4.12,1102.39,1.56,,,1.12,4.05,0.07,,-0.35,-2.93,0.17,212.35,24,,,54.4,,914.97,13.81,33.73,-0.28,25.18,57.98,1.56,3.73,-0.05,73.57,44.15,49.32,37.79,45.5,896.76,1.55,100.0,4.51,4.77,0.0,0.0,4.51,0.0,0.0,1.41,24.49,B+,B2,AA-,
1999,9.6,4.69,1251.75,1.31,,,1.3,4.41,0.18,,-0.5,-3.12,0.45,274.51,24,,,56.04,,1286.24,10.75,27.3,2.84,27.04,48.13,0.43,3.74,0.24,74.05,46.35,49.92,42.49,46.68,885.26,1.36,100.0,5.48,4.71,0.0,0.0,5.48,0.0,0.0,1.39,25.09,B+,B2,AA-,
2000,12.77,5.57,1484.18,1.66,5.62,,1.22,3.53,0.15,,-0.4,-2.58,0.5,-129.63,24,24.6,1.37,34.69,,737.93,4.44,27.46,7.0,21.89,37.03,0.28,3.75,0.21,74.4,50.82,46.73,54.08,51.75,1158.63,1.27,100.0,5.04,5.01,0.0,0.0,5.04,0.0,0.0,1.39,25.78,B+,B2,AA-,
2001,2.42,5.8,1544.6,1.8,5.86,,1.28,3.71,0.12,,-0.74,-2.73,1.23,134.04,24,23.41,1.36,35.23,,640.08,2.36,25.96,3.0,38.78,26.34,0.26,3.76,0.12,74.64,55.27,53.05,58.11,54.58,1118.39,1.32,99.4,5.13,5.13,0.0,0.0,5.13,0.0,0.0,1.39,26.61,B+,B2,AA-,
2002,5.03,6.73,1789.86,2.07,6.57,,1.29,4.01,0.27,,-1.19,-3.12,1.34,147.22,24,23.44,1.58,31.2,,555.78,5.05,28.08,-0.4,38.46,30.62,0.44,3.76,0.1,74.8,56.2,52.86,59.76,55.94,1172.06,0.88,98.5,5.22,5.19,0.0,0.0,5.22,0.0,0.0,1.38,27.55,B+,B2,AA-,
2003,3.87,8.5,2258.95,2.52,8.31,,1.75,5.1,0.38,,-1.63,-3.82,1.81,316.47,24,22.8,1.94,27.64,,541.92,3.86,28.42,0.5,40.0,34.77,0.31,3.76,0.07,74.94,57.18,52.8,61.54,57.2,1169.27,0.83,100.0,4.46,6.36,0.0,0.0,4.46,0.0,0.0,1.39,28.36,B+,B2,AA-,
2004,6.33,10.16,2698.47,3.04,9.56,,2.29,6.02,0.89,,-1.64,-4.14,2.43,397.85,24,21.91,2.23,25.49,,686.09,6.26,26.62,0.6,,,0.27,3.76,0.05,75.07,59.92,56.53,63.29,59.93,1277.61,1.63,100.0,5.92,6.34,0.0,0.0,5.92,0.0,0.0,1.39,29.37,B+,B2,AA-,
2005,3.9,11.22,2980.6,3.23,10.41,,2.73,6.74,0.62,,-1.84,-4.35,2.55,192.11,24,21.66,2.43,25.51,19.89,539.89,4.24,26.33,4.3,48.5,42.74,0.28,3.77,0.03,75.2,60.61,54.93,65.74,61.25,1338.52,1.83,100.0,5.94,6.21,0.0,0.0,5.94,0.0,0.0,1.37,30.41,B+,B2,AA-,
2006,5.41,12.86,3416.51,3.25,11.4,6.1,3.38,6.89,0.85,,-1.0,-3.62,3.67,129.03,24,20.97,2.7,21.25,21.69,536.84,5.69,20.52,4.55,37.85,47.64,1.59,3.77,0.0,75.34,64.23,62.27,68.11,62.04,1407.56,1.64,99.39,5.8,7.0,0.0,0.0,5.8,0.0,0.0,1.37,31.11,B+,B2,AA-,
2007,5.86,15.78,4193.37,4.71,13.57,1.5,4.28,8.91,1.84,0.0,-1.45,-4.66,5.04,-88.97,24,21.08,3.33,18.71,21.39,599.1,5.98,24.74,4.94,41.5,54.2,1.77,3.76,-0.07,75.5,66.4,66.32,70.21,62.18,1409.61,2.12,99.7,3.96,7.32,0.0,0.0,3.96,0.0,0.0,1.4,28.98,B+,B2,AA-,
2008,5.44,19.11,5090.95,6.06,16.29,7.4,5.13,11.34,1.0,0.0,-2.64,-6.23,4.48,-120.21,24,22.08,4.22,30.89,20.3,465.01,5.59,26.4,3.81,37.87,58.04,2.05,3.75,-0.23,75.67,67.71,67.27,71.06,64.42,1587.94,3.65,100.0,4.82,9.36,0.0,0.0,4.82,0.0,0.0,1.42,23.41,B+,B2,BBB-,
2009,-3.0,17.61,4714.69,4.17,14.87,-0.4,4.41,8.58,0.14,0.0,-1.14,-4.19,4.58,94.24,24,23.46,4.13,35.07,18.95,417.34,-0.82,18.89,-0.03,40.62,57.95,2.51,3.74,-0.49,75.84,67.61,64.9,72.74,64.86,1664.23,1.47,100.0,6.18,8.86,0.0,0.0,6.18,0.0,0.0,1.42,24.07,B+,B2,BBB-,
2010,0.87,17.18,4635.51,3.39,14.39,2.0,5.1,8.81,0.44,0.0,-1.03,-3.7,4.41,116.46,24,23.13,3.97,40.81,19.69,511.18,0.77,15.92,3.08,42.71,58.87,3.22,3.71,-0.82,76.03,68.71,65.58,73.72,66.59,1749.12,2.75,100.0,7.95,8.55,0.0,0.0,7.95,0.0,0.0,1.43,27.31,B+,B2,BBB-,
2011,0.96,18.64,5092.55,4.14,15.52,3.7,5.97,10.4,0.47,0.0,-1.77,-4.43,4.25,65.21,24,23.09,4.31,39.55,20.31,625.78,0.91,18.31,3.05,43.1,57.95,4.82,3.66,-1.2,76.22,70.01,65.76,74.38,69.88,1951.71,3.58,99.71,4.34,10.24,0.0,0.0,4.34,0.0,0.0,1.41,27.58,B+,B2,BBB-,
2012,-0.82,17.22,4777.07,3.86,14.6,2.1,5.57,9.61,0.39,0.06,-1.49,-4.04,4.39,78.71,24,23.37,4.02,42.21,20.48,568.02,-0.71,18.28,1.8,44.75,60.92,6.21,3.6,-1.55,76.4,69.65,63.82,75.07,70.13,1854.11,2.26,100.0,4.17,9.27,0.0,0.0,4.17,0.0,0.0,1.4,28.01,B+,B2,BBB-,
2013,2.35,18.17,5129.66,3.86,15.2,-0.1,6.13,9.85,0.31,-0.83,-0.97,-3.72,4.98,122.8,24,22.83,4.15,42.5,19.75,521.21,2.35,17.23,-1.42,47.39,61.69,6.84,3.54,-1.75,76.57,69.09,61.29,75.49,70.67,1821.83,1.78,99.5,7.17,9.6,0.0,0.0,7.16,0.0,0.0,1.38,27.49,B+,B2,BBB-,
2014,1.15,18.56,5330.35,4.18,15.39,-0.9,6.31,10.5,0.54,-5.7,-1.36,-4.2,4.86,95.33,24,22.86,4.24,45.86,19.78,630.2,1.15,18.44,-0.44,49.74,63.06,8.4,3.48,-1.72,76.72,69.63,64.42,74.37,70.15,2246.92,1.24,100.0,5.88,9.61,0.0,0.0,5.88,0.0,0.0,1.39,27.52,B+,B2,BBB-,
2015,3.09,16.22,4729.69,3.56,13.0,-1.0,5.76,8.73,0.38,2.24,-0.83,-2.96,4.79,116.43,24,22.0,3.57,45.53,19.93,356.39,3.09,20.74,-1.3,51.41,62.57,8.96,3.43,-1.53,76.86,69.61,62.48,76.37,70.04,,1.01,99.7,5.5,9.47,0.0,0.0,5.5,0.0,0.0,1.36,27.69,B+,B2,BBB-,
2016,3.15,16.91,4994.97,3.89,13.21,-1.6,6.15,8.96,0.31,2.65,-0.8,-2.81,5.14,175.19,24,20.96,3.55,44.08,19.95,446.12,3.15,21.8,-0.53,52.95,61.71,8.54,3.39,-1.26,77.0,68.24,59.1,76.21,69.56,,1.06,100.0,5.61,11.38,0.0,0.02,5.59,0.0,0.0,1.35,25.41,B+,B2,BBB-,
2017,3.17,18.08,5394.27,4.51,13.82,0.8,7.39,10.32,0.51,4.92,-0.88,-2.94,6.47,167.36,24,20.28,3.67,37.95,20.26,440.54,3.18,23.67,0.72,55.52,62.62,8.3,3.35,-1.03,77.13,69.27,60.99,76.55,70.38,,1.27,100.0,3.78,11.68,0.0,0.02,3.75,0.0,0.0,1.33,20.53,B+,B2,BBB-,
2018,3.74,20.18,6070.35,5.0,15.04,1.4,8.58,11.55,0.6,-2.04,-0.66,-2.96,6.81,-15.62,24,19.77,3.99,34.27,20.44,355.95,3.74,23.73,1.58,56.63,61.8,8.1,3.32,-0.83,77.26,68.78,61.04,74.97,70.53,,1.17,100.0,6.49,11.76,0.1,0.02,6.35,0.0,0.0,1.32,18.4,B+,B2,BBB-,
2019,2.83,20.2,6119.76,5.09,14.85,0.6,8.18,11.15,0.44,0.89,-0.57,-2.96,7.21,112.08,24,19.44,3.93,32.53,20.1,464.51,2.83,24.34,0.62,58.56,62.77,8.69,3.3,-0.69,77.4,68.19,59.94,74.66,70.18,,0.99,100.0,,10.37,0.25,0.03,6.02,0.0,0.0,1.34,15.69,B+,B2,BBB-,
2020,-3.2,19.95,6079.74,4.58,14.7,-1.1,6.89,9.67,,3.63,-0.75,-2.79,8.71,125.49,24,20.82,4.15,36.53,,,-3.12,22.66,-1.05,64.25,65.04,,3.28,-0.61,,,,,,,,100.0,,10.82,0.26,0.05,,,0.0,1.3,15.27,B+,B2,BBB-,
1976,10.26,153.17,1395.1,35.29,104.98,,10.74,14.4,1.56,0.0,-6.52,-3.97,6.67,404.0,26,10.49,16.06,,,92.53,,,,15.35,46.91,,109.79,2.37,61.24,41.43,27.16,66.41,30.71,870.86,1.95,,,,,,,,,,,BB-,Ba3,BB+ ,
1977,4.93,176.34,1568.54,38.88,121.84,,12.78,13.95,1.83,0.0,-5.05,-1.69,7.44,-681.0,26,9.43,16.62,,,67.56,,,,14.54,47.1,,112.43,2.37,61.6,41.77,27.45,66.99,30.86,878.91,1.79,,,,,,,,,,,BB-,Ba3,BB+ ,
1978,4.97,200.28,1739.72,46.13,137.67,,13.4,15.79,2.01,0.0,-7.0,-2.88,12.19,275.0,26,9.68,19.39,,,89.28,,,,14.53,50.16,,115.12,2.37,61.94,42.31,28.19,66.99,31.74,913.32,1.7,,,,,,,,,,,BB-,Ba3,BB+ ,
1979,6.76,221.34,1877.68,51.21,156.46,,16.03,20.64,2.42,-2.0,-10.52,-5.04,9.84,1273.0,26,9.9,21.91,,,87.76,,,,,,,117.88,2.37,62.29,42.87,28.9,66.8,32.92,948.4,2.34,,,,,,,,,,,BB-,Ba3,BB+ ,
1980,9.2,237.39,1966.9,54.87,163.83,,21.28,26.57,1.91,-11.0,-12.83,-5.96,6.88,-317.0,26,9.11,21.62,,,83.15,9.19,21.33,,11.89,44.5,11.72,120.69,2.36,62.63,42.35,27.26,66.78,33.0,943.3,2.81,,130.36,7.94,0.0,0.0,128.44,0.0,0.0,,,BB-,Ba3,BB+ ,
1981,-4.25,258.02,2088.0,60.84,179.16,101.7,24.83,25.83,2.52,14.0,-11.76,-1.69,7.48,-402.0,26,9.52,24.56,,,227.13,-4.4,21.11,95.66,11.29,52.1,16.49,123.57,2.36,62.98,43.25,30.12,66.57,33.06,883.88,2.4,,131.43,8.72,0.0,0.0,129.4,0.0,0.0,,,BB-,Ba3,BB+ ,
1982,0.83,271.31,2144.8,59.42,195.95,100.5,21.44,23.31,2.91,16.0,-16.32,-2.81,4.0,-364.0,26,10.39,28.18,,,177.69,0.6,19.3,104.8,10.08,55.54,18.48,126.5,2.34,63.33,43.2,30.37,66.14,33.09,877.86,2.62,,142.01,7.97,0.0,0.0,139.65,0.05,0.0,,,BB-,Ba3,BB+ ,
1983,-2.93,189.66,1465.11,33.92,144.84,135.0,23.22,18.31,1.61,-3.0,-6.83,4.06,4.56,-578.0,26,10.36,19.64,,,106.72,-3.4,15.28,164.0,10.25,63.73,22.62,129.45,2.31,63.68,44.01,32.58,66.75,32.69,879.25,3.34,,153.06,7.22,0.0,0.0,149.89,0.17,0.0,,,BB-,Ba3,BB+ ,
1984,5.4,188.34,1422.68,32.9,147.05,192.1,28.32,16.56,1.59,-3.0,0.03,11.34,11.96,412.0,26,9.19,17.32,,,153.56,5.31,14.41,215.28,11.52,62.74,21.62,132.38,2.24,64.04,44.34,33.29,66.98,32.74,915.08,3.25,,167.97,7.4,0.0,0.0,164.85,2.73,0.0,,,BB-,Ba3,BB+ ,
